split,horizon,mse
train,d=1,0.0004203621647320688
train,d=2,0.0007104016258381307
train,d=3,0.001057507237419486
train,d=4,0.0013813147088512778
train,d=5,0.001675907289609313
val,d=1,0.0002125516621163115
val,d=2,0.0003838773409370333
val,d=3,0.000515506777446717
val,d=4,0.000669903471134603
val,d=5,0.0008018608205020428
test,d=1,0.00030497825355269015
test,d=2,0.0006118235760368407
test,d=3,0.0009825486922636628
test,d=4,0.0012709518196061254
test,d=5,0.0015360275283455849
