split,horizon,mse
train,d=1,0.00011925073340535164
train,d=2,0.0002467310114298016
train,d=3,0.0005163747118785977
train,d=4,0.0008491668268106878
train,d=5,0.0011668931692838669
val,d=1,5.652424442814663e-05
val,d=2,0.00013072567526251078
val,d=3,0.0002626500790938735
val,d=4,0.0004237539251334965
val,d=5,0.0005663625779561698
test,d=1,7.391851249849424e-05
test,d=2,0.00019872606208082289
test,d=3,0.00047143761184997857
test,d=4,0.0007920979405753314
test,d=5,0.0010908428812399507
